ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,Pay_AVR,Bill_AVR,P_AMT_AVR,default.payment.next.month
1,20000,2,2,1,24,-0.516935568,-107289.3784,-11443.69024,1
2,120000,2,2,2,26,1.753526912,-103860.7026,-10043.01417,1
3,90000,2,2,2,34,0.455994497,-68874.73847,-8086.514262,0
4,50000,2,2,1,37,0.455994497,-14775.02477,-8541.459204,0
5,50000,1,2,1,57,-0.31975052,-66777.11629,22477.98373,0
6,50000,1,1,2,37,0.455994497,-9872.681904,-8813.377138,0
7,500000,1,1,2,29,0.455994497,989187.983,62630.61733,0
8,100000,2,2,2,23,-0.799886594,-104736.2405,-10446.61469,0
9,140000,2,3,1,28,1.332964001,-83691.20908,-9917.520042,0
10,20000,1,3,2,35,-3.616837961,-100983.8317,-8563.097298,0
11,200000,2,3,2,34,0.937296058,-96055.59964,-10253.46231,0
12,260000,2,1,2,51,-0.797911181,-74904.40239,12640.3023,0
13,630000,2,2,2,41,-1.563186609,-93605.78986,-2185.171262,0
14,70000,1,2,2,30,3.305016946,29708.40488,-8722.233901,1
15,250000,1,1,2,29,0.455994497,42352.96813,-5373.162293,0
16,50000,2,3,3,23,1.636711558,-30043.73833,-9559.406526,0
17,20000,1,1,2,24,3.81983618,-67713.895,-9962.197668,1
18,320000,1,1,1,49,-0.787441592,294327.8886,86955.42999,0
19,360000,2,1,1,49,-3.414043715,-110707.1855,-11962.23814,0
20,180000,2,1,2,29,-3.414043715,-110707.1855,-11962.23814,0
21,130000,2,3,2,39,0.060326555,-57885.6887,763.257601,0
22,120000,2,2,1,39,-1.984915007,-109945.0134,-11394.45216,1
23,70000,2,2,2,26,3.617387207,-3112.400982,-7184.921505,1
24,450000,2,1,1,40,-4.425824512,-98805.2208,-3607.265029,1
25,90000,1,1,2,23,0.021544958,-98031.98701,-6729.731599,0
26,50000,1,3,2,23,0.455994497,-22273.6995,-8990.713448,0
27,60000,1,1,2,27,-1.732122874,-110874.8678,-10807.17261,1
28,50000,2,3,2,30,0.455994497,-65070.2186,-9311.320328,0
29,50000,2,3,1,47,-1.984915007,-95280.57465,-15.02873566,0
30,50000,1,1,2,26,0.455994497,-71057.31509,-9370.289313,0
31,230000,2,1,2,27,-1.984915007,-65496.20142,20937.3637,0
32,50000,1,2,2,33,1.130515028,-48470.06418,-9220.750344,1
33,100000,1,1,2,32,0.455994497,91707.37295,-4918.773715,0
34,500000,2,2,1,54,-4.425824512,-61627.29751,41438.07721,0
35,500000,1,1,1,58,-4.425824512,-85849.29364,15723.0238,0
36,160000,1,1,2,30,-3.271167906,-99028.3134,-11170.52871,0
37,280000,1,2,1,40,0.455994497,325184.8917,3965.292671,0
38,60000,2,2,2,22,0.060326555,-96376.79059,709.1096204,0
39,50000,1,1,2,25,-2.553830566,-110362.6085,-11692.16327,1
40,280000,1,1,2,31,-0.256142144,-90515.2088,-1030.29443,0
41,360000,1,1,2,33,0.455994497,559805.2386,51892.70585,0
42,70000,2,1,2,25,0.455994497,49172.89289,-4171.70959,0
