LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,Pay_AVR,Bill_AVR,P_AMT_AVR,Pay_Rate,Credit_Util,default.payment.next.month
20000.0,2,2,1,24,-0.516935567927005,-107289.3784305874,-11443.690235544575,0.10666191195196695,-536.4468921529369,1
120000.0,2,2,2,26,1.7535269118179362,-103860.70264958043,-10043.014173562604,0.09669695965226724,-86.55058554131702,1
90000.0,2,2,2,34,0.4559944972884534,-68874.73846920171,-8086.51426196675,0.11740900135080364,-76.5274871880019,0
50000.0,2,2,1,37,0.4559944972884534,-14775.024768146233,-8541.459203877968,0.5781011766757013,-29.550049536292466,0
50000.0,1,2,1,57,-0.3197505197225247,-66777.11629105975,22477.983734781134,-0.33661207586154074,-133.55423258211948,0
50000.0,1,1,2,37,0.4559944972884534,-9872.681904105886,-8813.377137591919,0.8927034440283729,-19.74536380821177,0
500000.0,1,1,2,29,0.4559944972884534,989187.9830422619,62630.61732549179,0.06331518214856434,197.8375966084524,0
100000.0,2,2,2,23,-0.7998865942953923,-104736.24046951106,-10446.614689258002,0.09974212022913916,-104.73624046951106,0
140000.0,2,3,1,28,1.3329640005429142,-83691.20907674677,-9917.520041941012,0.11850133546100902,-59.77943505481913,0
20000.0,1,3,2,35,-3.616837961057624,-100983.83170847438,-8563.097298144752,0.08479671600167805,-504.91915854237186,0
200000.0,2,3,2,34,0.9372960584184856,-96055.5996442832,-10253.462312735317,0.1067450762965026,-48.027799822141596,0
260000.0,2,1,2,51,-0.7979111807413773,-74904.40238682867,12640.302300110037,-0.16875246176895914,-28.80938553339564,0
630000.0,2,2,2,41,-1.5631866092824769,-93605.789860565,-2185.171262146586,0.02334440279176761,-14.858061882629364,0
70000.0,1,2,2,30,3.3050169458398932,29708.4048807202,-8722.23390053623,-0.2935948239414456,42.44057840102886,1
250000.0,1,1,2,29,0.4559944972884534,42352.968128646535,-5373.1622934025845,-0.1268662511935806,16.941187251458615,0
50000.0,2,3,3,23,1.6367115583365734,-30043.738333067035,-9559.406526339113,0.31818299108995185,-60.087476666134066,0
20000.0,1,1,2,24,3.8198361796628193,-67713.89500153724,-9962.197668100724,0.14712191150537954,-338.5694750076862,1
320000.0,1,1,1,49,-0.7874415922714989,294327.8885922194,86955.42998818445,0.2954372771268646,91.97746518506857,0
360000.0,2,1,1,49,-3.4140437153665397,-110707.18553564744,-11962.23814423809,0.10805295145351047,-30.751995982124292,0
180000.0,2,1,2,29,-3.4140437153665397,-110707.18553564744,-11962.23814423809,0.10805295145351047,-61.503991964248584,0
130000.0,2,3,2,39,0.060326555164024576,-57885.68869821383,763.2576010256854,-0.013185601107812977,-44.527452844779866,0
120000.0,2,2,1,39,-1.984915007114664,-109945.0133603593,-11394.452157989297,0.10363773498887553,-91.62084446696608,1
70000.0,2,2,2,26,3.6173872071758537,-3112.4009823576343,-7184.921505484001,2.3084819553171596,-4.446287117653763,1
450000.0,2,1,1,40,-4.4258245115177814,-98805.2207960106,-3607.265029068454,0.03650885044339785,-21.9567157324468,1
90000.0,1,1,2,23,0.021544958188658203,-98031.98701048859,-6729.731598547099,0.06864832391724422,-108.924430011654,0
50000.0,1,3,2,23,0.4559944972884534,-22273.69950133517,-8990.713447690572,0.4036470657760124,-44.54739900267034,0
60000.0,1,1,2,27,-1.7321228741793548,-110874.86781751546,-10807.172610572909,0.09747179702040326,-184.7914463625258,1
50000.0,2,3,2,30,0.4559944972884534,-65070.21860355028,-9311.320328048638,0.14309649679800837,-130.14043720710055,0
50000.0,2,3,1,47,-1.984915007114664,-95280.57464553193,-15.028735662676981,0.0001577313709388059,-190.56114929106386,0
50000.0,1,1,2,26,0.4559944972884534,-71057.31508902392,-9370.289312512059,0.13186945356396484,-142.11463017804783,0
230000.0,2,1,2,27,-1.984915007114664,-65496.20141686126,20937.36369574904,-0.3196729465650958,-28.476609311678807,0
50000.0,1,2,2,33,1.1305150280559484,-48470.06418474392,-9220.750344210404,0.19023598378301013,-96.94012836948784,1
100000.0,1,1,2,32,0.4559944972884534,91707.37294869576,-4918.7737150102585,-0.053635531766480636,91.70737294869576,0
500000.0,2,2,1,54,-4.4258245115177814,-61627.297508620206,41438.07720803024,-0.6723980911581273,-12.32545950172404,0
